p,x,y,j,c
460-00-443344-8,114.12001,30.55788,C12,1
460-00-439042-3,114.214166,30.603611,C12,1
460-00-38648-194,114.316058,30.702193,C12,1
460-00-442582-3,114.24824,30.60167,C12,1
460-00-583998-131,114.15623,30.52301,C12,1
460-00-305734-129,114.08044,30.453905,C12,1
460-00-185147-66,114.23181,30.607912,C12,1
460-00-185692-66,114.275444,30.644655,C12,1
460-00-438425-14,114.280191,30.569897,C12,1
460-00-305773-140,114.15544,30.52082,C12,1
460-00-439511-1,114.15982,30.52172,C12,1
460-00-439479-2,114.18027,30.46473,C12,1
460-00-439589-2,114.07498,30.45909,C12,1
460-00-584034-138,114.15792,30.51322,C12,1
460-00-710013-205,114.25011,30.62035,C12,1
460-00-304107-141,114.282457,30.605549,C12,1
460-00-584438-131,114.252815,30.621895,C12,1
460-00-439189-3,114.27919,30.60688,C12,1
460-00-438695-2,114.19447,30.57623,C12,1
460-00-434443-1,114.34947,30.621267,C12,1
460-00-303497-135,114.161991,30.620044,C12,1
460-00-439686-13,114.25945,30.60859,C12,1
460-00-710013-209,114.250101,30.62035,C12,1
460-00-185352-65,114.21178,30.569935,C12,1
460-00-584164-130,114.26256,30.587132,C12,1
460-00-584508-130,114.30846,30.616272,C12,1
460-00-439212-3,114.20356,30.56963,C12,1
460-00-439137-1,114.26788,30.54274,C12,1
460-00-440055-1,114.33333,30.71972,C12,1
460-00-583998-139,114.15581,30.52222,C12,1
460-00-304401-133,114.28738,30.58275,C12,1
460-00-308403-129,114.26815,30.57336,C12,1
460-00-438306-3,114.20827,30.56303,C12,1
460-00-439358-1,114.135501,30.477083,C12,1
460-00-303399-129,114.27189,30.57184,C12,1
460-00-439342-1,114.313551,30.629441,C12,1
460-00-439853-10,114.32757,30.63781,C12,1
460-00-438531-2,114.251884,30.527672,C12,1
460-00-584287-133,114.25317,30.58138,C12,1
460-00-304519-134,114.28287,30.58774,C12,1
460-00-307989-130,114.07184,30.46378,C12,1
460-00-36098-192,114.188354,30.539795,C12,1
460-00-303269-133,114.27694,30.58535,C12,1
460-00-439559-6,114.13417,30.65789,C12,1
460-00-303803-134,114.34048,30.71732,C12,1
460-00-438298-3,114.25777,30.55281,C12,1
460-00-438400-3,114.29681,30.60939,C12,1
460-00-303225-132,114.13909,30.62472,C12,1
460-00-436200-6,114.27432,30.57004,C12,1
460-00-185176-66,114.316401,30.622692,C12,1
460-00-305732-129,114.207466,30.573746,C12,1
460-00-186894-65,114.131201,30.62667,C12,1
460-00-307844-131,114.17315,30.534632,C12,1
460-00-439722-4,114.28696,30.57761,C12,1
460-00-305719-131,114.26088,30.567734,C12,1
460-00-186205-65,114.267044,30.597792,C12,1
460-00-184979-65,114.263374,30.572437,C12,1
460-00-442428-7,114.26335,30.58278,C12,1
460-00-438881-2,114.20142,30.56898,C12,1
460-00-185169-64,114.28699,30.57766,C12,1
460-00-308052-136,114.303774,30.59742,C12,1
460-00-584050-135,114.26901,30.57084,C12,1
460-00-304107-139,114.282457,30.605549,C12,1
460-00-439768-3,114.30261,30.61038,C12,1
460-00-435553-6,114.25963,30.61519,C12,1
460-00-439031-2,114.242239,30.532289,C12,1
460-00-185989-65,114.27913,30.577833,C12,1
460-00-435052-1,114.141101,30.495523,C12,1
460-00-439540-3,114.15734,30.49318,C12,1
460-00-438295-1,114.30542,30.61549,C12,1
460-00-438506-3,114.148315,30.489685,C12,1
460-00-438446-2,114.26455,30.59317,C12,1
460-00-308144-132,114.24002,30.586201,C12,1
460-00-439874-3,114.289741,30.591641,C12,1
460-00-185611-64,114.260864,30.627169,C12,1
460-00-185069-69,114.201195,30.557201,C12,1
460-00-185045-65,114.24327,30.585981,C12,1
460-00-439663-2,114.271645,30.574913,C12,1
460-00-303285-148,114.261562,30.571107,C12,1
460-00-185093-65,114.27315,30.601183,C12,1
460-00-184954-66,114.26866,30.582615,C12,1
460-00-439580-3,114.21011,30.51501,C12,1
460-00-36056-193,114.216041,30.567657,C12,1
460-00-438670-3,114.26628,30.62062,C12,1
460-00-439787-3,114.25128,30.616013,C12,1
460-00-439759-2,114.32046,30.60476,C12,1
460-00-438293-3,114.20554,30.56791,C12,1
460-00-305586-131,114.27779,30.570301,C12,1
